		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110011000  247  236  244  231  228  259  253  253  3.751042 0.878858 SUCCESS 104
110011010  261  270  238  251  251  245  231  205 11.820841 0.159378 SUCCESS 105
110100000  259  228  230  258  239  236  240  239  4.274271 0.831569 SUCCESS 106
110100010  278  251  227  223  222  243  236  266 12.581323 0.127090 SUCCESS 107
110100100  247  237  246  246  282  266  245  252  8.650752 0.372609 SUCCESS 108
110101000  289  233  272  243  235  238  241  253 13.240126 0.103850 SUCCESS 109
110101010  279  245  254  254  220  236  243  243  8.738663 0.364820 SUCCESS 110
110101100  249  238  241  274  230  241  268  247  7.418940 0.492178 SUCCESS 111
110110000  220  252  257  234  262  227  275  273 14.032383 0.080925 SUCCESS 112
110110010  252  226  228  233  247  244  269  227  7.179568 0.517389 SUCCESS 113
110110100  230  251  244  249  245  212  225  232  7.694324 0.463885 SUCCESS 114
110111000  242  257  247  250  242  261  243  240  2.205717 0.974047 SUCCESS 115
110111010  252  264  257  221  254  251  257  257  6.922190 0.545051 SUCCESS 116
110111100  240  239  255  228  246  246  246  241  1.872079 0.984685 SUCCESS 117
111000000  249  254  248  234  249  235  258  251  2.481100 0.962606 SUCCESS 118
111000010  269  271  248  276  250  258  225  252 12.823873 0.118055 SUCCESS 119
111000100  244  232  222  240  274  257  246  269  9.888919 0.272909 SUCCESS 120
111000110  225  232  229  240  239  233  253  245  4.186360 0.839930 SUCCESS 121
111001000  236  266  241  265  232  251  229  222  8.060796 0.427554 SUCCESS 122
111001010  255  264  236  275  253  235  270  270 12.852470 0.117027 SUCCESS 123
111001100  238  262  248  252  209  254  236  251  7.959116 0.437474 SUCCESS 124
111010000  273  230  257  233  245  241  222  229  8.692060 0.368936 SUCCESS 125
111010010  252  226  242  242  286  272  233  255 13.439249 0.097604 SUCCESS 126
111010100  251  223  263  214  235  240  278  240 12.803748 0.118783 SUCCESS 127
